preference_name,method,hyperparameter_name,hyperparameter_value,p_helpfulness,p_correctness,p_coherence,p_complexity,p_verbosity,lambda_helpfulness,lambda_correctness,lambda_coherence,lambda_complexity,lambda_verbosity,reward_helpfulness,reward_correctness,reward_coherence,reward_complexity,reward_verbosity,avg_reward,preference_weighted_utility,direct_preference_utility,delta_utility_over_direct,lambda_best_utility,lambda_best_source,utility_gap_to_lambda_best,l1_distance_to_p,l2_distance_to_p,r_geometric_distance_to_p,z_best_helpfulness,z_best_correctness,z_best_coherence,z_best_complexity,z_best_verbosity,z_worst_helpfulness,z_worst_correctness,z_worst_coherence,z_worst_complexity,z_worst_verbosity,normalized_shortfall_helpfulness,normalized_shortfall_correctness,normalized_shortfall_coherence,normalized_shortfall_complexity,normalized_shortfall_verbosity,tchebychev_norm,direct_preference_tchebychev_norm,delta_tchebychev_norm_over_direct
quality_focused,M1,tau,0.5000000000,0.3000000000,0.3000000000,0.3000000000,0.0500000000,0.0500000000,0.3009493643,0.3023990023,0.3007223202,0.0480938294,0.0478354838,0.4604167500,0.4125000000,0.1375000000,0.3222792500,0.2791665000,0.3223725000,0.3331973125,0.3331973125,0.0000000000,0.7088930000,fixed_lambda_sweep,0.3756956875,0.0081413734,0.0039366060,0.0000040404,0.7375000000,0.4833335000,0.3531915000,0.6851160000,0.6041667500,0.4322917500,0.4062500000,0.1375000000,0.3222792500,0.2687500000,0.2723549323,0.2756756925,0.2999999861,0.0499999986,0.0484472288,0.2999999861,0.2999999861,0.0000000000
quality_focused,M1,tau,1.0000000000,0.3000000000,0.3000000000,0.3000000000,0.0500000000,0.0500000000,0.3018442920,0.3047591929,0.3013890252,0.0462515270,0.0457559629,0.4885417500,0.4187500000,0.2312500000,0.3250490000,0.2895832500,0.3506348000,0.3722941375,0.3331973125,0.0390968250,0.7088930000,fixed_lambda_sweep,0.3365988625,0.0159850202,0.0077487820,0.0000155920,0.7375000000,0.4833335000,0.3531915000,0.6851160000,0.6041667500,0.4322917500,0.4062500000,0.1375000000,0.3222792500,0.2687500000,0.2447098745,0.2513514239,0.1696054240,0.0496183187,0.0468944217,0.2513514239,0.2999999861,0.0486485622
quality_focused,M1,tau,2.0000000000,0.3000000000,0.3000000000,0.3000000000,0.0500000000,0.0500000000,0.3034770099,0.3093666474,0.3025622416,0.0427526719,0.0418414292,0.4885417500,0.4187500000,0.2312500000,0.3365080000,0.2875000000,0.3525099500,0.3727629250,0.3331973125,0.0395656125,0.7088930000,fixed_lambda_sweep,0.3361300750,0.0308117977,0.0150158185,0.0000580582,0.7375000000,0.4833335000,0.3531915000,0.6851160000,0.6041667500,0.4322917500,0.4062500000,0.1375000000,0.3222792500,0.2687500000,0.2447098745,0.2513514239,0.1696054240,0.0480392340,0.0472049682,0.2513514239,0.2999999861,0.0486485622
quality_focused,C1,rho,0.1000000000,0.3000000000,0.3000000000,0.3000000000,0.0500000000,0.0500000000,0.1362266768,0.0593402865,0.3053072970,0.2314028259,0.2677229138,0.7375000000,0.4833335000,0.3531915000,0.6851160000,0.6041667500,0.5726615500,0.5366716375,0.3331973125,0.2034743250,0.7088930000,fixed_lambda_sweep,0.1722213625,0.8088660735,0.4062969591,0.0382157444,0.7375000000,0.4833335000,0.3531915000,0.6851160000,0.6041667500,0.4322917500,0.4062500000,0.1375000000,0.3222792500,0.2687500000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2999999861,0.2999999861
quality_focused,C1,rho,1.0000000000,0.3000000000,0.3000000000,0.3000000000,0.0500000000,0.0500000000,0.2318865200,0.2703298866,0.1473463902,0.1257704311,0.2246667721,0.5166667500,0.4250000000,0.2653410000,0.6707707500,0.3979165000,0.4551390000,0.4155366875,0.3331973125,0.0823393750,0.7088930000,fixed_lambda_sweep,0.2933563125,0.5008744064,0.2550931709,0.0167000112,0.7375000000,0.4833335000,0.3531915000,0.6851160000,0.6041667500,0.4322917500,0.4062500000,0.1375000000,0.3222792500,0.2687500000,0.2170648167,0.2270271554,0.1221890931,0.0019768187,0.0307453703,0.2270271554,0.2999999861,0.0729728307
quality_focused,C1,rho,10.0000000000,0.3000000000,0.3000000000,0.3000000000,0.0500000000,0.0500000000,0.2931885443,0.2970329907,0.2847347279,0.0384298821,0.0866138549,0.4322917500,0.4062500000,0.2187500000,0.4663480000,0.2687500000,0.3584779500,0.3539424250,0.3331973125,0.0207451125,0.7088930000,fixed_lambda_sweep,0.3549505750,0.0732277098,0.0419841590,0.0002757289,0.7375000000,0.4833335000,0.3531915000,0.6851160000,0.6041667500,0.4322917500,0.4062500000,0.1375000000,0.3222792500,0.2687500000,0.2999999902,0.2999999611,0.1869913656,0.0301468903,0.0499999985,0.2999999902,0.2999999861,-0.0000000041
detailed_answer,uniform,,,0.2500000000,0.2500000000,0.2000000000,0.1500000000,0.1500000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.5610417500,0.4237500000,0.2181757500,0.5630835000,0.3979167500,0.4327935500,0.4339831250,0.3329666250,0.1010165000,0.6850130000,fixed_lambda_sweep,0.2510298750,0.2000000000,0.1000000000,0.0023402023,0.7375000000,0.4833335000,0.3531915000,0.6851160000,0.6041667500,0.3985417500,0.3987500000,0.1037500000,0.3024305000,0.2145832500,0.1301474775,0.1761084992,0.1082544361,0.0478326838,0.0794117287,0.1761084992,0.2499999926,0.0738914935
detailed_answer,direct_preference,,,0.2500000000,0.2500000000,0.2000000000,0.1500000000,0.1500000000,0.2500000000,0.2500000000,0.2000000000,0.1500000000,0.1500000000,0.3985417500,0.3987500000,0.2059790000,0.4017360000,0.2145832500,0.3239180000,0.3329666250,0.3329666250,0.0000000000,0.6850130000,fixed_lambda_sweep,0.3520463750,0.0000000000,0.0000000000,0.0000000000,0.7375000000,0.4833335000,0.3531915000,0.6851160000,0.6041667500,0.3985417500,0.3987500000,0.1037500000,0.3024305000,0.2145832500,0.2499999926,0.2499999704,0.1180336825,0.1110755409,0.1499999961,0.2499999926,0.2499999926,0.0000000000
detailed_answer,M1,tau,0.5000000000,0.2500000000,0.2500000000,0.2000000000,0.1500000000,0.1500000000,0.2519876508,0.2524691745,0.2002113080,0.1479981347,0.1473337320,0.3985417500,0.3987500000,0.2059790000,0.4017360000,0.2145832500,0.3239180000,0.3329666250,0.3329666250,0.0000000000,0.6850130000,fixed_lambda_sweep,0.3520463750,0.0093362666,0.0046052882,0.0000051833,0.7375000000,0.4833335000,0.3531915000,0.6851160000,0.6041667500,0.3985417500,0.3987500000,0.1037500000,0.3024305000,0.2145832500,0.2499999926,0.2499999704,0.1180336825,0.1110755409,0.1499999961,0.2499999926,0.2499999926,0.0000000000
detailed_answer,M1,tau,1.0000000000,0.2500000000,0.2500000000,0.2000000000,0.1500000000,0.1500000000,0.2539620200,0.2549335405,0.2003998888,0.1460062647,0.1446982860,0.4097917500,0.4012500000,0.1234790000,0.3024305000,0.2187500000,0.2911402500,0.3056333125,0.3329666250,-0.0273333125,0.6850130000,fixed_lambda_sweep,0.3793796875,0.0185908987,0.0091790756,0.0000205545,0.7375000000,0.4833335000,0.3531915000,0.6851160000,0.6041667500,0.3985417500,0.3987500000,0.1037500000,0.3024305000,0.2145832500,0.2417025108,0.2426108233,0.1841814540,0.1499999961,0.1483956867,0.2426108233,0.2499999926,0.0073891693
detailed_answer,M1,tau,2.0000000000,0.2500000000,0.2500000000,0.2000000000,0.1500000000,0.1500000000,0.2578695849,0.2598462961,0.2007093207,0.1420542744,0.1395205239,0.4210417500,0.4037500000,0.1037500000,0.3095560000,0.2395832500,0.2955362000,0.3093188250,0.3329666250,-0.0236478000,0.6850130000,fixed_lambda_sweep,0.3756941750,0.0368504034,0.0182301131,0.0000807786,0.7375000000,0.4833335000,0.3531915000,0.6851160000,0.6041667500,0.3985417500,0.3987500000,0.1037500000,0.3024305000,0.2145832500,0.2334050290,0.2352216762,0.1999999920,0.1472070369,0.1403743321,0.2352216762,0.2499999926,0.0147783164
detailed_answer,C1,rho,0.1000000000,0.2500000000,0.2500000000,0.2000000000,0.1500000000,0.1500000000,0.1362266768,0.0593402865,0.3053072970,0.2314028259,0.2677229138,0.7375000000,0.4833335000,0.3531915000,0.6851160000,0.6041667500,0.5726615500,0.5692390875,0.3329666250,0.2362724625,0.6850130000,fixed_lambda_sweep,0.1157739125,0.6088660735,0.2843769097,0.0117373887,0.7375000000,0.4833335000,0.3531915000,0.6851160000,0.6041667500,0.3985417500,0.3987500000,0.1037500000,0.3024305000,0.2145832500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2499999926,0.2499999926
detailed_answer,C1,rho,1.0000000000,0.2500000000,0.2500000000,0.2000000000,0.1500000000,0.1500000000,0.1818867420,0.2203301941,0.1598051051,0.1794432536,0.2585347052,0.5166667500,0.4416667500,0.2375000000,0.5249122500,0.2666665000,0.3974824500,0.4058201875,0.3329666250,0.0728535625,0.6850130000,fixed_lambda_sweep,0.2791928125,0.2759559176,0.1406486057,0.0048354064,0.7375000000,0.4833335000,0.3531915000,0.6851160000,0.6041667500,0.3985417500,0.3987500000,0.1037500000,0.3024305000,0.2145832500,0.1628764335,0.1231526984,0.0927604231,0.0627945451,0.1299465614,0.1628764335,0.2499999926,0.0871235591
detailed_answer,C1,rho,10.0000000000,0.2500000000,0.2500000000,0.2000000000,0.1500000000,0.1500000000,0.2431885492,0.2470329889,0.1847347266,0.1384298779,0.1866138573,0.5166667500,0.4250000000,0.3197290000,0.5461805000,0.4520832500,0.4519319000,0.4491020500,0.3329666250,0.1161354250,0.6850130000,fixed_lambda_sweep,0.2359109500,0.0732277147,0.0419841620,0.0002757290,0.7375000000,0.4833335000,0.3531915000,0.6851160000,0.6041667500,0.3985417500,0.3987500000,0.1037500000,0.3024305000,0.2145832500,0.1628764335,0.1724139256,0.0268299370,0.0544580980,0.0585561873,0.1724139256,0.2499999926,0.0775860670
helpfulness_focused,uniform,,,0.6000000000,0.1000000000,0.1000000000,0.1000000000,0.1000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.5610417500,0.4237500000,0.2181757500,0.5630835000,0.3979167500,0.4327935500,0.4969176500,0.6147609750,-0.1178433250,0.7778810000,fixed_lambda_sweep,0.2809633500,0.8000000000,0.4472135955,0.0206471374,0.7375000000,0.4833335000,0.4031915000,0.6851160000,0.6041667500,0.5610417500,0.4237500000,0.2181757500,0.5184037500,0.3979167500,0.5999999660,0.0999999832,0.0999999946,0.0731994756,0.0999999952,0.5999999660,0.0991738783,-0.5008260877
helpfulness_focused,direct_preference,,,0.6000000000,0.1000000000,0.1000000000,0.1000000000,0.1000000000,0.6000000000,0.1000000000,0.1000000000,0.1000000000,0.1000000000,0.7083332500,0.4833335000,0.3528225000,0.5447875000,0.5166667500,0.5211887000,0.6147609750,0.6147609750,0.0000000000,0.7778810000,fixed_lambda_sweep,0.1631200250,0.0000000000,0.0000000000,0.0000000000,0.7375000000,0.4833335000,0.4031915000,0.6851160000,0.6041667500,0.5610417500,0.4237500000,0.2181757500,0.5184037500,0.3979167500,0.0991738783,0.0000000000,0.0272241673,0.0841740733,0.0424242404,0.0991738783,0.0991738783,0.0000000000
helpfulness_focused,M1,tau,0.5000000000,0.6000000000,0.1000000000,0.1000000000,0.1000000000,0.1000000000,0.6079092465,0.0996433143,0.0985414125,0.0972479171,0.0966581096,0.7083332500,0.4833335000,0.3528225000,0.5247095000,0.5062500000,0.5150897500,0.6117115000,0.6147609750,-0.0030494750,0.7778810000,fixed_lambda_sweep,0.1661695000,0.0158184932,0.0091407371,0.0000115923,0.7375000000,0.4833335000,0.4031915000,0.6851160000,0.6041667500,0.5610417500,0.4237500000,0.2181757500,0.5184037500,0.3979167500,0.0991738783,0.0000000000,0.0272241673,0.0962175787,0.0474747856,0.0991738783,0.0991738783,0.0000000000
helpfulness_focused,M1,tau,1.0000000000,0.6000000000,0.1000000000,0.1000000000,0.1000000000,0.1000000000,0.6157292732,0.0992567114,0.0970735965,0.0945418660,0.0933985529,0.7083332500,0.4833335000,0.3278225000,0.5284105000,0.4458335000,0.4987466500,0.6035399500,0.6147609750,-0.0112210250,0.7778810000,fixed_lambda_sweep,0.1743410500,0.0314585466,0.0181630583,0.0000455861,0.7375000000,0.4833335000,0.4031915000,0.6851160000,0.6041667500,0.5610417500,0.4237500000,0.2181757500,0.5184037500,0.3979167500,0.0991738783,0.0000000000,0.0407365297,0.0939975860,0.0767676326,0.0991738783,0.0991738783,0.0000000000
helpfulness_focused,M1,tau,2.0000000000,0.6000000000,0.1000000000,0.1000000000,0.1000000000,0.1000000000,0.6310901015,0.0983972089,0.0941163890,0.0892711964,0.0871251042,0.7083332500,0.4833335000,0.3278225000,0.5279282500,0.4270835000,0.4949002000,0.6016167250,0.6147609750,-0.0131442500,0.7778810000,fixed_lambda_sweep,0.1762642750,0.0621802032,0.0358420201,0.0001761008,0.7375000000,0.4833335000,0.4031915000,0.6851160000,0.6041667500,0.5610417500,0.4237500000,0.2181757500,0.5184037500,0.3979167500,0.0991738783,0.0000000000,0.0407365297,0.0942868569,0.0858585413,0.0991738783,0.0991738783,0.0000000000
helpfulness_focused,C1,rho,0.1000000000,0.6000000000,0.1000000000,0.1000000000,0.1000000000,0.1000000000,0.1362266768,0.0593402865,0.3053072970,0.2314028259,0.2677229138,0.7375000000,0.4833335000,0.3531915000,0.6851160000,0.6041667500,0.5726615500,0.6550807750,0.6147609750,0.0403198000,0.7778810000,fixed_lambda_sweep,0.1228002250,1.0088660735,0.5516227627,0.0366256600,0.7375000000,0.4833335000,0.4031915000,0.6851160000,0.6041667500,0.5610417500,0.4237500000,0.2181757500,0.5184037500,0.3979167500,0.0000000000,0.0000000000,0.0270247248,0.0000000000,0.0000000000,0.0270247248,0.0991738783,0.0721491535
helpfulness_focused,C1,rho,1.0000000000,0.6000000000,0.1000000000,0.1000000000,0.1000000000,0.1000000000,0.5318857408,0.0703319426,0.0627533686,0.1107623880,0.2242665600,0.7083332500,0.4666667500,0.4031915000,0.6462977500,0.4291667500,0.5307312000,0.6195322250,0.6147609750,0.0047712500,0.7778810000,fixed_lambda_sweep,0.1583487750,0.2700578961,0.1498835029,0.0050049777,0.7375000000,0.4833335000,0.4031915000,0.6851160000,0.6041667500,0.5610417500,0.4237500000,0.2181757500,0.5184037500,0.3979167500,0.0991738783,0.0279720849,0.0000000000,0.0232845803,0.0848484807,0.0991738783,0.0991738783,0.0000000000
helpfulness_focused,C1,rho,10.0000000000,0.6000000000,0.1000000000,0.1000000000,0.1000000000,0.1000000000,0.5931885486,0.0970329853,0.0847347304,0.0884298788,0.1366138569,0.7083332500,0.4833335000,0.3192435000,0.5184037500,0.4395835000,0.4937795000,0.6010563750,0.6147609750,-0.0137046000,0.7778810000,fixed_lambda_sweep,0.1768246250,0.0732277137,0.0419841603,0.0002757290,0.7375000000,0.4833335000,0.4031915000,0.6851160000,0.6041667500,0.5610417500,0.4237500000,0.2181757500,0.5184037500,0.3979167500,0.0991738783,0.0000000000,0.0453734320,0.0999999940,0.0797979355,0.0999999940,0.0991738783,-0.0008261157
