preference_name,method,hyperparameter_name,hyperparameter_value,p_helpfulness,p_correctness,p_coherence,p_complexity,p_verbosity,lambda_helpfulness,lambda_correctness,lambda_coherence,lambda_complexity,lambda_verbosity,mean_helpfulness_proxy,mean_correctness_proxy,mean_coherence_proxy,mean_complexity_proxy,mean_verbosity_proxy,mean_length,num_responses,utility_for_preference,l1_distance_to_p,l2_distance_to_p,min_relationship_score,best_fixed_sweep_utility,gap_to_best_fixed_sweep
balanced,C1,rho,10.0,0.2,0.2,0.2,0.2,0.2,0.1931886279,0.1970326664,0.1847348799,0.1884301635,0.2366136623,0.59479175,0.44791675,0.325,0.56241225,0.26041675,31.25,4,0.4381075,0.0732273246,0.0419838675,0.883249002,0.67724,-0.23913249999999997
quality_focused,direct_preference,,,0.3,0.3,0.3,0.05,0.05,0.3,0.3,0.3,0.05,0.05,0.46041675,0.4125,0.1375,0.32227925,0.2791665,33.5,4,0.3331973125,0.0,0.0,0.8396084185,0.708893,-0.3756956875
quality_focused,M1,tau,0.5,0.3,0.3,0.3,0.05,0.05,0.3009493643,0.3023990023,0.3007223202,0.0480938294,0.0478354838,0.46041675,0.4125,0.1375,0.32227925,0.2791665,33.5,4,0.3331973125,0.0081413734,0.003936606,0.8390830818,0.708893,-0.3756956875
quality_focused,M1,tau,1.0,0.3,0.3,0.3,0.05,0.05,0.301844292,0.3047591929,0.3013890252,0.046251527,0.0457559629,0.48854175,0.41875,0.23125,0.325049,0.28958325,34.75,4,0.37229413749999996,0.0159850202,0.007748782,0.8385776608,0.708893,-0.33659886250000004
quality_focused,M1,tau,2.0,0.3,0.3,0.3,0.05,0.05,0.3034770099,0.3093666474,0.3025622416,0.0427526719,0.0418414292,0.48854175,0.41875,0.23125,0.33650800000000003,0.2875,34.5,4,0.372762925,0.0308117977,0.0150158185,0.8376242694,0.708893,-0.336130075
quality_focused,C1,rho,0.1,0.3,0.3,0.3,0.05,0.05,0.1362266768,0.0593402865,0.305307297,0.2314028259,0.2677229138,0.7375,0.48333349999999997,0.3531915,0.685116,0.60416675,72.5,4,0.5366716374999999,0.8088660735,0.4062969591,0.8897083914,0.708893,-0.17222136250000009
quality_focused,C1,rho,1.0,0.3,0.3,0.3,0.05,0.05,0.23188652000000004,0.27032988660000007,0.14734639020000004,0.12577043110000002,0.22466677210000002,0.51666675,0.425,0.265341,0.67077075,0.3979165,47.75,4,0.4155366875,0.5008744064,0.2550931709,0.8771336403,0.708893,-0.2933563125
quality_focused,C1,rho,10.0,0.3,0.3,0.3,0.05,0.05,0.2931885443293189,0.29703299072970335,0.2847347279284735,0.038429882103842995,0.08661385490866139,0.43229175,0.40625,0.21875,0.466348,0.26875,32.25,4,0.35394242499999995,0.0732277098,0.041984159,0.8451229982,0.708893,-0.35495057500000005
detailed_answer,direct_preference,,,0.25,0.25,0.2,0.15,0.15,0.25,0.25,0.2,0.15,0.15,0.39854175000000003,0.39875,0.205979,0.401736,0.21458325,25.75,4,0.332966625,0.0,0.0,0.8656908805,0.685013,-0.35204637499999997
detailed_answer,M1,tau,0.5,0.25,0.25,0.2,0.15,0.15,0.2519876508,0.2524691745,0.200211308,0.1479981347,0.147333732,0.39854175000000003,0.39875,0.205979,0.401736,0.21458325,25.75,4,0.332966625,0.0093362666,0.0046052882,0.8650909667,0.685013,-0.35204637499999997
detailed_answer,M1,tau,1.0,0.25,0.25,0.2,0.15,0.15,0.25396202,0.2549335405,0.2003998888,0.1460062647,0.144698286,0.40979175,0.40125,0.123479,0.3024305,0.21875,26.25,4,0.30563331250000003,0.0185908987,0.0091790756,0.8644973292,0.685013,-0.37937968749999995
detailed_answer,M1,tau,2.0,0.25,0.25,0.2,0.15,0.15,0.2578695849,0.2598462961,0.2007093207,0.1420542744,0.1395205239,0.42104175,0.40375,0.10375000000000001,0.309556,0.23958325,28.75,4,0.30931882499999996,0.0368504034,0.0182301131,0.8633291174,0.685013,-0.375694175
detailed_answer,C1,rho,0.1,0.25,0.25,0.2,0.15,0.15,0.1362266768,0.0593402865,0.305307297,0.2314028259,0.2677229138,0.7375,0.48333349999999997,0.3531915,0.685116,0.60416675,72.5,4,0.5692390875,0.6088660735,0.2843769097,0.8897083914,0.685013,-0.11577391250000002
detailed_answer,C1,rho,1.0,0.25,0.25,0.2,0.15,0.15,0.181886742,0.2203301941,0.1598051051,0.1794432536,0.2585347052,0.51666675,0.44166675,0.23750000000000002,0.52491225,0.26666650000000003,32.0,4,0.4058201875,0.2759559176,0.1406486057,0.886516769,0.685013,-0.2791928125
detailed_answer,C1,rho,10.0,0.25,0.25,0.2,0.15,0.15,0.24318854922431885,0.2470329889247033,0.18473472661847348,0.13842987791384298,0.18661385731866137,0.51666675,0.425,0.31972900000000004,0.5461805,0.45208325,54.25,4,0.44910205000000003,0.0732277147,0.041984162,0.8712054603,0.685013,-0.23591094999999995
helpfulness_focused,direct_preference,,,0.6000000000000001,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.6000000000000001,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.70833325,0.48333349999999997,0.3528225,0.5447875,0.51666675,62.0,4,0.614760975,0.0,0.0,0.858671402,0.777881,-0.163120025
helpfulness_focused,M1,tau,0.5,0.6000000000000001,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.6079092465392091,0.09964331429003566,0.09854141249014585,0.09724791709027521,0.09665810959033419,0.70833325,0.48333349999999997,0.3528225,0.5247094999999999,0.50625,60.75,4,0.6117115000000001,0.0158184932,0.0091407371,0.8579895063,0.777881,-0.16616949999999997
helpfulness_focused,M1,tau,1.0,0.6000000000000001,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.615729273238427,0.0992567113900743,0.09707359649029261,0.09454186599054579,0.09339855289066012,0.70833325,0.48333349999999997,0.3278225,0.5284105,0.4458335,53.5,4,0.6035399500000002,0.0314585466,0.0181630583,0.8573245657,0.777881,-0.1743410499999999
helpfulness_focused,M1,tau,2.0,0.6000000000000001,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.631090101536891,0.09839720889016028,0.09411638899058836,0.08927119639107288,0.08712510419128748,0.70833325,0.48333349999999997,0.3278225,0.52792825,0.4270835,51.25,4,0.6016167250000002,0.0621802032,0.0358420201,0.8560453627,0.777881,-0.17626427499999986
helpfulness_focused,C1,rho,0.1,0.6000000000000001,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.1362266768,0.0593402865,0.305307297,0.2314028259,0.2677229138,0.7375,0.48333349999999997,0.3531915,0.685116,0.60416675,72.5,4,0.6550807750000002,1.0088660735,0.5516227627,0.8897083914,0.777881,-0.12280022499999987
helpfulness_focused,C1,rho,1.0,0.6000000000000001,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.5318857407531886,0.0703319426070332,0.06275336860627533,0.11076238801107623,0.22426656002242665,0.70833325,0.46666675,0.4031915,0.64629775,0.42916675000000004,51.5,4,0.619532225,0.2700578961,0.1498835029,0.8806667308,0.777881,-0.158348775
helpfulness_focused,C1,rho,10.0,0.6000000000000001,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.5931885486406812,0.0970329852902967,0.08473473039152653,0.08842987879115702,0.13661385688633862,0.70833325,0.48333349999999997,0.3192435,0.51840375,0.4395835,52.75,4,0.6010563750000002,0.0732277137,0.0419841603,0.8641859817,0.777881,-0.17682462499999985
