attribute,global_step,epoch,train_loss,eval_loss,learning_rate,timestamp
helpfulness,890,1.255289,1.00006645,,0.0001,2026-06-22T13:25:52.997132+00:00
helpfulness,900,1.269394,1.02459334,,0.0001,2026-06-22T13:25:56.828020+00:00
helpfulness,900,1.269394,1.11374068,1.17919607,0.0001,2026-06-22T13:26:04.938712+00:00
helpfulness,910,1.283498,0.97714652,,0.0001,2026-06-22T13:26:08.768564+00:00
helpfulness,920,1.297602,0.90914778,,0.0001,2026-06-22T13:26:12.616272+00:00
helpfulness,930,1.311707,0.85439647,,0.0001,2026-06-22T13:26:16.439414+00:00
helpfulness,940,1.325811,1.02656259,,0.0001,2026-06-22T13:26:20.246841+00:00
helpfulness,950,1.339915,1.05920929,,0.0001,2026-06-22T13:26:24.059344+00:00
helpfulness,950,1.339915,1.08298016,1.18449274,0.0001,2026-06-22T13:26:32.233799+00:00
helpfulness,960,1.354020,0.85177091,,0.0001,2026-06-22T13:26:36.089204+00:00
helpfulness,970,1.368124,0.88830235,,0.0001,2026-06-22T13:26:39.911396+00:00
helpfulness,980,1.382228,1.00826123,,0.0001,2026-06-22T13:26:43.778296+00:00
helpfulness,990,1.396333,1.10844511,,0.0001,2026-06-22T13:26:47.623257+00:00
helpfulness,1000,1.410437,0.91374357,,0.0001,2026-06-22T13:26:51.452521+00:00
helpfulness,1000,1.410437,0.73568171,1.17292217,0.0001,2026-06-22T13:26:59.634404+00:00
helpfulness,1010,1.424542,1.34491335,,0.0001,2026-06-22T13:27:03.972650+00:00
helpfulness,1020,1.438646,1.16268532,,0.0001,2026-06-22T13:27:07.779434+00:00
helpfulness,1030,1.452750,0.87357521,,0.0001,2026-06-22T13:27:11.584684+00:00
helpfulness,1040,1.466855,1.10746042,,0.0001,2026-06-22T13:27:15.428095+00:00
helpfulness,1050,1.480959,0.87490600,,0.0001,2026-06-22T13:27:19.214595+00:00
helpfulness,1050,1.480959,0.84345067,1.17130090,0.0001,2026-06-22T13:27:27.235620+00:00
helpfulness,1060,1.495063,0.97641783,,0.0001,2026-06-22T13:27:31.006299+00:00
helpfulness,1070,1.509168,1.00274092,,0.0001,2026-06-22T13:27:34.805133+00:00
helpfulness,1080,1.523272,1.07819567,,0.0001,2026-06-22T13:27:38.603277+00:00
helpfulness,1090,1.537377,0.95243919,,0.0001,2026-06-22T13:27:42.456640+00:00
helpfulness,1100,1.551481,0.89265501,,0.0001,2026-06-22T13:27:46.235104+00:00
helpfulness,1100,1.551481,0.83163947,1.18402547,0.0001,2026-06-22T13:27:54.336541+00:00
helpfulness,1110,1.565585,1.00494347,,0.0001,2026-06-22T13:27:58.123158+00:00
helpfulness,1120,1.579690,0.87398456,,0.0001,2026-06-22T13:28:01.970220+00:00
helpfulness,1130,1.593794,1.21681132,,0.0001,2026-06-22T13:28:05.818620+00:00
helpfulness,1140,1.607898,1.20818696,,0.0001,2026-06-22T13:28:09.673563+00:00
helpfulness,1150,1.622003,1.12838042,,0.0001,2026-06-22T13:28:13.504300+00:00
helpfulness,1150,1.622003,0.96240354,1.17853967,0.0001,2026-06-22T13:28:21.642126+00:00
helpfulness,1160,1.636107,1.18608786,,0.0001,2026-06-22T13:28:25.485537+00:00
helpfulness,1170,1.650212,1.35934877,,0.0001,2026-06-22T13:28:29.331282+00:00
helpfulness,1180,1.664316,0.97489303,,0.0001,2026-06-22T13:28:33.146064+00:00
helpfulness,1190,1.678420,1.10447553,,0.0001,2026-06-22T13:28:36.975164+00:00
helpfulness,1200,1.692525,1.18718501,,0.0001,2026-06-22T13:28:40.851335+00:00
helpfulness,1200,1.692525,1.05420554,1.18429460,0.0001,2026-06-22T13:28:49.043305+00:00
helpfulness,1210,1.706629,0.78199809,,0.0001,2026-06-22T13:28:52.901926+00:00
helpfulness,1220,1.720733,1.07783503,,0.0001,2026-06-22T13:28:56.768369+00:00
helpfulness,1230,1.734838,0.91866614,,0.0001,2026-06-22T13:29:00.591069+00:00
helpfulness,1240,1.748942,1.00876785,,0.0001,2026-06-22T13:29:04.471540+00:00
helpfulness,1250,1.763047,0.83070099,,0.0001,2026-06-22T13:29:08.294936+00:00
helpfulness,1250,1.763047,1.27413666,1.18641377,0.0001,2026-06-22T13:29:16.412676+00:00
helpfulness,1260,1.777151,0.94259175,,0.0001,2026-06-22T13:29:20.214855+00:00
helpfulness,1270,1.791255,1.20872278,,0.0001,2026-06-22T13:29:24.051853+00:00
helpfulness,1280,1.805360,1.06736729,,0.0001,2026-06-22T13:29:27.901888+00:00
helpfulness,1290,1.819464,0.83584126,,0.0001,2026-06-22T13:29:31.768242+00:00
helpfulness,1300,1.833568,1.07173349,,0.0001,2026-06-22T13:29:35.586375+00:00
helpfulness,1300,1.833568,2.28814554,1.18146226,0.0001,2026-06-22T13:29:43.804890+00:00
helpfulness,1310,1.847673,0.91888701,,0.0001,2026-06-22T13:29:47.647600+00:00
helpfulness,1320,1.861777,1.06638285,,0.0001,2026-06-22T13:29:51.492250+00:00
helpfulness,1330,1.875882,1.05026957,,0.0001,2026-06-22T13:29:55.318381+00:00
helpfulness,1340,1.889986,0.90239909,,0.0001,2026-06-22T13:29:59.148152+00:00
helpfulness,1350,1.904090,1.04900010,,0.0001,2026-06-22T13:30:03.081733+00:00
helpfulness,1350,1.904090,1.16011703,1.18344133,0.0001,2026-06-22T13:30:11.338997+00:00
helpfulness,1360,1.918195,1.09937932,,0.0001,2026-06-22T13:30:15.178986+00:00
helpfulness,1370,1.932299,0.83111816,,0.0001,2026-06-22T13:30:19.041292+00:00
helpfulness,1380,1.946403,1.08585649,,0.0001,2026-06-22T13:30:22.874493+00:00
helpfulness,1390,1.960508,1.00998925,,0.0001,2026-06-22T13:30:26.785387+00:00
helpfulness,1400,1.974612,0.90733331,,0.0001,2026-06-22T13:30:30.620348+00:00
helpfulness,1400,1.974612,1.10906756,1.18125666,0.0001,2026-06-22T13:30:38.889596+00:00
helpfulness,1410,1.988717,0.95221539,,0.0001,2026-06-22T13:30:42.787695+00:00
helpfulness,1418,2.000000,1.01888910,1.18986872,0.0001,2026-06-22T13:30:54.302284+00:00
helpfulness,1420,2.002821,0.78693424,,0.0001,2026-06-22T13:30:55.081229+00:00
helpfulness,1430,2.016925,1.14146094,,0.0001,2026-06-22T13:30:58.921038+00:00
helpfulness,1440,2.031030,0.83843169,,0.0001,2026-06-22T13:31:02.779113+00:00
helpfulness,1450,2.045134,0.75554511,,0.0001,2026-06-22T13:31:06.546278+00:00
helpfulness,1450,2.045134,0.50988233,1.20196731,0.0001,2026-06-22T13:31:14.680342+00:00
helpfulness,1460,2.059238,0.91806462,,0.0001,2026-06-22T13:31:18.482876+00:00
helpfulness,1470,2.073343,0.81987272,,0.0001,2026-06-22T13:31:22.283167+00:00
helpfulness,1480,2.087447,0.96036738,,0.0001,2026-06-22T13:31:26.148644+00:00
helpfulness,1490,2.101551,0.80960316,,0.0001,2026-06-22T13:31:29.990782+00:00
helpfulness,1500,2.115656,0.96161805,,0.0001,2026-06-22T13:31:33.823935+00:00
helpfulness,1500,2.115656,1.02742732,1.20682081,0.0001,2026-06-22T13:31:42.122300+00:00
helpfulness,1510,2.129760,0.89406327,,0.0001,2026-06-22T13:31:46.425317+00:00
helpfulness,1520,2.143865,0.72717776,,0.0001,2026-06-22T13:31:50.223672+00:00
helpfulness,1530,2.157969,0.60672548,,0.0001,2026-06-22T13:31:54.013549+00:00
helpfulness,1540,2.172073,0.81538035,,0.0001,2026-06-22T13:31:57.833881+00:00
helpfulness,1550,2.186178,0.70993389,,0.0001,2026-06-22T13:32:01.656542+00:00
helpfulness,1550,2.186178,0.77494884,1.24885800,0.0001,2026-06-22T13:32:09.790420+00:00
helpfulness,1560,2.200282,0.82068064,,0.0001,2026-06-22T13:32:13.635323+00:00
helpfulness,1570,2.214386,0.71488117,,0.0001,2026-06-22T13:32:17.443104+00:00
helpfulness,1580,2.228491,0.80341050,,0.0001,2026-06-22T13:32:21.258511+00:00
helpfulness,1590,2.242595,0.94040827,,0.0001,2026-06-22T13:32:25.071718+00:00
helpfulness,1600,2.256700,0.67603521,,0.0001,2026-06-22T13:32:28.877969+00:00
helpfulness,1600,2.256700,0.75806361,1.26954669,0.0001,2026-06-22T13:32:36.975511+00:00
helpfulness,1610,2.270804,0.76817181,,0.0001,2026-06-22T13:32:40.761323+00:00
helpfulness,1620,2.284908,0.72883089,,0.0001,2026-06-22T13:32:44.607450+00:00
helpfulness,1630,2.299013,0.74632778,,0.0001,2026-06-22T13:32:48.484328+00:00
helpfulness,1640,2.313117,0.73940155,,0.0001,2026-06-22T13:32:52.301451+00:00
helpfulness,1650,2.327221,0.65855189,,0.0001,2026-06-22T13:32:56.142388+00:00
helpfulness,1650,2.327221,0.43622115,1.29002697,0.0001,2026-06-22T13:33:04.252696+00:00
helpfulness,1660,2.341326,0.78078793,,0.0001,2026-06-22T13:33:08.103412+00:00
helpfulness,1670,2.355430,0.61980163,,0.0001,2026-06-22T13:33:11.952357+00:00
helpfulness,1680,2.369535,0.62641373,,0.0001,2026-06-22T13:33:15.786333+00:00
helpfulness,1690,2.383639,0.85701742,,0.0001,2026-06-22T13:33:19.597261+00:00
helpfulness,1700,2.397743,0.83762368,,0.0001,2026-06-22T13:33:23.477437+00:00
helpfulness,1700,2.397743,0.69545853,1.25629107,0.0001,2026-06-22T13:33:31.605989+00:00
helpfulness,1710,2.411848,0.74747103,,0.0001,2026-06-22T13:33:35.510608+00:00
helpfulness,1720,2.425952,1.12618225,,0.0001,2026-06-22T13:33:39.346666+00:00
helpfulness,1730,2.440056,0.90229641,,0.0001,2026-06-22T13:33:43.151461+00:00
helpfulness,1740,2.454161,0.76587868,,0.0001,2026-06-22T13:33:47.007886+00:00
helpfulness,1750,2.468265,0.90600578,,0.0001,2026-06-22T13:33:50.848192+00:00
helpfulness,1750,2.468265,0.47859830,1.25639130,0.0001,2026-06-22T13:33:58.953459+00:00
helpfulness,1760,2.482370,0.69246370,,0.0001,2026-06-22T13:34:02.788711+00:00
helpfulness,1770,2.496474,0.71682062,,0.0001,2026-06-22T13:34:06.599661+00:00
helpfulness,1780,2.510578,0.90492896,,0.0001,2026-06-22T13:34:10.442253+00:00
helpfulness,1790,2.524683,0.82754735,,0.0001,2026-06-22T13:34:14.260083+00:00
helpfulness,1800,2.538787,0.72296224,,0.0001,2026-06-22T13:34:18.063634+00:00
helpfulness,1800,2.538787,1.08481288,1.25420531,0.0001,2026-06-22T13:34:26.177396+00:00
helpfulness,1810,2.552891,0.54786383,,0.0001,2026-06-22T13:34:29.964513+00:00
helpfulness,1820,2.566996,0.78273674,,0.0001,2026-06-22T13:34:33.772471+00:00
helpfulness,1830,2.581100,0.69761177,,0.0001,2026-06-22T13:34:37.588722+00:00
helpfulness,1840,2.595205,0.98912447,,0.0001,2026-06-22T13:34:41.404556+00:00
helpfulness,1850,2.609309,1.04343022,,0.0001,2026-06-22T13:34:45.254197+00:00
helpfulness,1850,2.609309,0.60360646,1.25023268,0.0001,2026-06-22T13:34:53.423459+00:00
helpfulness,1860,2.623413,0.86080101,,0.0001,2026-06-22T13:34:57.260246+00:00
helpfulness,1870,2.637518,0.94739576,,0.0001,2026-06-22T13:35:01.128953+00:00
helpfulness,1880,2.651622,1.18251802,,0.0001,2026-06-22T13:35:05.016864+00:00
helpfulness,1890,2.665726,0.76945152,,0.0001,2026-06-22T13:35:08.911573+00:00
helpfulness,1900,2.679831,0.79880156,,0.0001,2026-06-22T13:35:12.795065+00:00
helpfulness,1900,2.679831,0.53238082,1.26905916,0.0001,2026-06-22T13:35:21.014511+00:00
helpfulness,1910,2.693935,0.92638654,,0.0001,2026-06-22T13:35:24.883281+00:00
helpfulness,1920,2.708039,0.58247199,,0.0001,2026-06-22T13:35:28.715591+00:00
helpfulness,1930,2.722144,0.90277330,,0.0001,2026-06-22T13:35:32.552054+00:00
helpfulness,1940,2.736248,0.55889260,,0.0001,2026-06-22T13:35:36.398926+00:00
helpfulness,1950,2.750353,0.79862947,,0.0001,2026-06-22T13:35:40.259624+00:00
helpfulness,1950,2.750353,0.56802338,1.32148318,0.0001,2026-06-22T13:35:48.406928+00:00
helpfulness,1960,2.764457,0.65070915,,0.0001,2026-06-22T13:35:52.237931+00:00
helpfulness,1970,2.778561,0.72619596,,0.0001,2026-06-22T13:35:56.048908+00:00
helpfulness,1980,2.792666,0.94271371,,0.0001,2026-06-22T13:35:59.963968+00:00
helpfulness,1990,2.806770,0.89935840,,0.0001,2026-06-22T13:36:03.767085+00:00
helpfulness,2000,2.820874,0.63028718,,0.0001,2026-06-22T13:36:07.607315+00:00
