preference_name,method,method_family,hyperparameter_id,hyperparameters_json,p_helpfulness,p_correctness,p_coherence,p_complexity,p_verbosity,lambda_helpfulness,lambda_correctness,lambda_coherence,lambda_complexity,lambda_verbosity,mean_helpfulness_proxy,mean_correctness_proxy,mean_coherence_proxy,mean_complexity_proxy,mean_verbosity_proxy,mean_utility,mean_response_length,empty_response_count,num_prompts,l1_distance_to_p,l2_distance_to_p,direct_preference_utility,improvement_over_direct_preference,uniform_utility,improvement_over_uniform,runtime_seconds,peak_memory_mb,solver_iterations,solver_success
balanced,M1,MGDA-inspired,rho_1,"{""rho"": 1.0}",0.2,0.2,0.2,0.2,0.2,0.1863577263,0.1776483498,0.1848063548,0.2247736031,0.226413966,0.141484,0.361302,0.139531,0.226894,0.015365,0.176915,1.844,16,32,0.1023751383,0.0472015229,0.154401,0.022514,0.158827,0.018088,0.0154424890,0.0171308517,,True
balanced,M1,MGDA-inspired,rho_10,"{""rho"": 10.0}",0.2,0.2,0.2,0.2,0.2,0.1979855233,0.1969620207,0.1977922187,0.2035182444,0.203741993,0.1325,0.36,0.11,0.281473,0.016667,0.180128,2.0,18,32,0.0145204747,0.0066740009,0.154401,0.025727,0.158827,0.021301,0.0117994920,0.0168066025,,True
balanced,M2,MGDA-inspired,rho_0p1,"{""rho"": 0.1}",0.2,0.2,0.2,0.2,0.2,0.1930278088,0.1891709171,0.1923133015,0.2123443168,0.2131436559,0.142266,0.360781,0.128438,0.271386,0.017969,0.184168,2.156,17,32,0.0509759454,0.0234542889,0.154401,0.029767,0.158827,0.025341,0.0159553060,0.0173788071,,True
balanced,M2,MGDA-inspired,rho_1,"{""rho"": 1.0}",0.2,0.2,0.2,0.2,0.2,0.1991686693,0.1987539518,0.1990900196,0.2014478245,0.2015395347,0.076641,0.354531,0.078906,0.185938,0.007552,0.140714,0.906,23,32,0.0059747184,0.0027455735,0.154401,-0.013687,0.158827,-0.018113,0.0109976400,0.0174818039,,True
balanced,M2,MGDA-inspired,rho_10,"{""rho"": 10.0}",0.2,0.2,0.2,0.2,0.2,0.1999152437,0.1998734857,0.1999073019,0.2001473307,0.200156638,0.115625,0.35625,0.118906,0.244792,0.010417,0.169198,1.25,18,32,0.0006079374,0.0002793282,0.154401,0.014797,0.158827,0.010371,0.0081613540,0.0172376633,,True
balanced,P1,PCGrad-inspired,beta_0p5,"{""beta"": 0.5}",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.144297,0.359844,0.141094,0.256632,0.016406,0.183655,1.969,16,32,0.0,0.0,0.154401,0.029254,0.158827,0.024828,0.0003853870,0.0058135986,0.0000000000,True
balanced,P1,PCGrad-inspired,beta_1,"{""beta"": 1.0}",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.141563,0.360625,0.120174,0.280741,0.017708,0.184162,2.125,17,32,0.0,0.0,0.154401,0.029761,0.158827,0.025335,0.0002554430,0.0058593750,0.0000000000,True
balanced,P1,PCGrad-inspired,beta_2,"{""beta"": 2.0}",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.107344,0.357187,0.090469,0.226562,0.011979,0.158708,1.438,20,32,0.0,0.0,0.154401,0.004307,0.158827,-0.000119,0.0002489000,0.0058593750,0.0000000000,True
balanced,P2,PCGrad-inspired,eps_1em08__rho_0p1,"{""eps"": 1e-08, ""rho"": 0.1}",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.097578,0.356406,0.083437,0.221662,0.010677,0.153952,1.281,21,32,0.0,0.0,0.154401,-0.000449,0.158827,-0.004875,0.0049102220,0.0168924332,,True
balanced,P2,PCGrad-inspired,eps_1em08__rho_1,"{""eps"": 1e-08, ""rho"": 1.0}",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.089141,0.354531,0.088542,0.228255,0.007552,0.153604,0.906,21,32,0.0,0.0,0.154401,-0.000797,0.158827,-0.005223,0.0048474980,0.0165414810,,True
balanced,P2,PCGrad-inspired,eps_1em08__rho_10,"{""eps"": 1e-08, ""rho"": 10.0}",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.127578,0.358906,0.108594,0.261828,0.014844,0.17435,1.781,18,32,0.0,0.0,0.154401,0.019949,0.158827,0.015523,0.0048166600,0.0165185928,,True
balanced,direct_preference,baseline,default,{},0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.110156,0.357812,0.092031,0.198984,0.013021,0.154401,1.562,20,32,0.0,0.0,0.154401,0.0,0.158827,-0.004426,0.0001520660,0.0008840561,0.0000000000,True
balanced,uniform,baseline,default,{},0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.122734,0.359219,0.09207,0.204225,0.015885,0.158827,1.906,19,32,0.0,0.0,0.154401,0.004426,0.158827,0.0,0.0000238710,0.0002746582,0.0000000000,True
detailed_answer,C1,CAGrad-inspired,c_0p25__eps_1em08,"{""c"": 0.25, ""eps"": 1e-08}",0.15,0.15,0.2,0.25,0.25,0.1752780379,0.1012164927,0.1683485355,0.2753175769,0.279839357,0.198281,0.369062,0.118477,0.261771,0.03724,0.18355,4.469,14,32,0.1608699437,0.0745116898,0.157538,0.026012,0.143085,0.040465,0.0261563900,0.0203723907,,True
detailed_answer,C1,CAGrad-inspired,c_0p5__eps_1em08,"{""c"": 0.5, ""eps"": 1e-08}",0.15,0.15,0.2,0.25,0.25,0.1752780379,0.1012164927,0.1683485355,0.2753175769,0.279839357,0.195859,0.362969,0.189531,0.285877,0.021615,0.198604,2.594,10,32,0.1608699437,0.0745116898,0.157538,0.041066,0.143085,0.055519,0.0254859630,0.0197982788,,True
detailed_answer,C1,CAGrad-inspired,c_1__eps_1em08,"{""c"": 1.0, ""eps"": 1e-08}",0.15,0.15,0.2,0.25,0.25,0.1752780379,0.1012164927,0.1683485355,0.2753175769,0.279839357,0.130938,0.356875,0.105156,0.14112,0.011458,0.132348,1.375,16,32,0.1608699437,0.0745116898,0.157538,-0.02519,0.143085,-0.010737,0.0256581900,0.0197982788,,True
detailed_answer,C2,CAGrad-inspired,rho_0p1__tau_0p05,"{""rho"": 0.1, ""tau"": 0.05}",0.15,0.15,0.2,0.25,0.25,0.1380902486,0.2299886249,0.1504687937,0.2378222966,0.2436300362,0.099766,0.358281,0.053008,0.202648,0.013802,0.133421,1.656,22,32,0.1599772499,0.0958239824,0.157538,-0.024117,0.143085,-0.009664,0.0384668750,0.0163736343,,True
detailed_answer,C2,CAGrad-inspired,rho_0p1__tau_0p1,"{""rho"": 0.1, ""tau"": 0.1}",0.15,0.15,0.2,0.25,0.25,0.1314820607,0.2916984022,0.15726664,0.2075459693,0.2120069279,0.165156,0.360312,0.152656,0.359185,0.017188,0.203445,2.062,13,32,0.2833968043,0.1596662443,0.157538,0.045907,0.143085,0.06036,0.0478405190,0.0164461136,,True
detailed_answer,C2,CAGrad-inspired,rho_0p1__tau_0p2,"{""rho"": 0.1, ""tau"": 0.2}",0.15,0.15,0.2,0.25,0.25,0.1375875814,0.3621633189,0.1789932566,0.1601279912,0.1611278519,0.147813,0.360625,0.098437,0.319459,0.017708,0.180245,2.125,16,32,0.4243266378,0.2481609598,0.157538,0.022707,0.143085,0.03716,0.0527768710,0.0164556503,,True
detailed_answer,C2,CAGrad-inspired,rho_1__tau_0p05,"{""rho"": 1.0, ""tau"": 0.05}",0.15,0.15,0.2,0.25,0.25,0.1509886124,0.1686665982,0.1909850769,0.2441067319,0.2452529807,0.141641,0.362031,0.095104,0.179263,0.020052,0.1444,2.406,18,32,0.0393104211,0.0220896556,0.157538,-0.013138,0.143085,0.001315,0.0237711710,0.0164899826,,True
detailed_answer,C2,CAGrad-inspired,rho_1__tau_0p1,"{""rho"": 1.0, ""tau"": 0.1}",0.15,0.15,0.2,0.25,0.25,0.1540746292,0.1794045946,0.1994735816,0.2336093642,0.2334378304,0.136016,0.360781,0.09,0.228575,0.017969,0.154155,2.156,18,32,0.0669584476,0.0377421291,0.157538,-0.003383,0.143085,0.01107,0.0325994360,0.0164461136,,True
detailed_answer,C2,CAGrad-inspired,rho_1__tau_0p2,"{""rho"": 1.0, ""tau"": 0.2}",0.15,0.15,0.2,0.25,0.25,0.1572173547,0.187582471,0.2061266636,0.2250932758,0.2239802349,0.071094,0.354687,0.079687,0.114472,0.007812,0.110376,0.938,24,32,0.1018529787,0.052909748,0.157538,-0.047162,0.143085,-0.032709,0.0361687580,0.0164995193,,True
detailed_answer,M1,MGDA-inspired,rho_0p1,"{""rho"": 0.1}",0.15,0.15,0.2,0.25,0.25,0.1606280824,0.1183931135,0.1747776677,0.2714406123,0.2747605241,0.172344,0.364687,0.113281,0.2113,0.024479,0.162156,2.938,15,32,0.1136584376,0.0531121536,0.157538,0.004618,0.143085,0.019071,0.0281981250,0.0163469315,,True
detailed_answer,M1,MGDA-inspired,rho_1,"{""rho"": 1.0}",0.15,0.15,0.2,0.25,0.25,0.1496532307,0.1405665847,0.1913900517,0.2587104941,0.2596796388,0.154297,0.364844,0.082489,0.186125,0.02474,0.147085,2.969,18,32,0.0367802658,0.0182430507,0.157538,-0.010453,0.143085,0.004,0.0147842620,0.0159444809,,True
detailed_answer,M1,MGDA-inspired,rho_10,"{""rho"": 10.0}",0.15,0.15,0.2,0.25,0.25,0.1497942834,0.1487519763,0.1988422021,0.2512445063,0.2513670319,0.114297,0.357344,0.078182,0.151302,0.01224,0.127268,1.469,19,32,0.0052230765,0.0025214977,0.157538,-0.03027,0.143085,-0.015817,0.0134087040,0.0160150528,,True
detailed_answer,M2,MGDA-inspired,rho_0p1,"{""rho"": 0.1}",0.15,0.15,0.2,0.25,0.25,0.2115406711,0.2092598184,0.1997609397,0.189036176,0.1904023948,0.15125,0.36,0.137031,0.295431,0.016667,0.182118,2.0,15,32,0.241600979,0.120695898,0.157538,0.02458,0.143085,0.039033,0.0211021960,0.0165681839,,True
detailed_answer,M2,MGDA-inspired,rho_1,"{""rho"": 1.0}",0.15,0.15,0.2,0.25,0.25,0.1568292818,0.1565908065,0.2008038205,0.2428450582,0.242931033,0.115078,0.358906,0.092031,0.163021,0.014844,0.13397,1.781,20,32,0.0284478176,0.013852344,0.157538,-0.023568,0.143085,-0.009115,0.0110234140,0.0167074203,,True
detailed_answer,M2,MGDA-inspired,rho_10,"{""rho"": 10.0}",0.15,0.15,0.2,0.25,0.25,0.1506908138,0.1506669539,0.2000907567,0.2492717521,0.2492797235,0.110234,0.359219,0.079531,0.128898,0.015365,0.12239,1.844,21,32,0.0028970488,0.0014069226,0.157538,-0.035148,0.143085,-0.020695,0.0118331310,0.0166406631,,True
detailed_answer,P1,PCGrad-inspired,beta_0p5,"{""beta"": 0.5}",0.15,0.15,0.2,0.25,0.25,0.15,0.15,0.2,0.25,0.25,0.134531,0.354375,0.13276,0.264369,0.015104,0.169756,1.812,17,32,0.0,0.0,0.157538,0.012218,0.143085,0.026671,0.0004312240,0.0058135986,0.0000000000,True
detailed_answer,P1,PCGrad-inspired,beta_1,"{""beta"": 1.0}",0.15,0.15,0.2,0.25,0.25,0.15,0.15,0.2,0.25,0.25,0.182734,0.366302,0.16875,0.229926,0.023958,0.179577,2.875,13,32,0.0,0.0,0.157538,0.022039,0.143085,0.036492,0.0002397340,0.0058593750,0.0000000000,True
detailed_answer,P1,PCGrad-inspired,beta_2,"{""beta"": 2.0}",0.15,0.15,0.2,0.25,0.25,0.15,0.15,0.2,0.25,0.25,0.097422,0.353594,0.125469,0.214583,0.00599,0.147889,0.719,19,32,0.0,0.0,0.157538,-0.009649,0.143085,0.004804,0.0002474230,0.0058593750,0.0000000000,True
detailed_answer,P2,PCGrad-inspired,eps_1em08__rho_0p1,"{""eps"": 1e-08, ""rho"": 0.1}",0.15,0.15,0.2,0.25,0.25,0.15,0.15,0.2,0.25,0.25,0.105234,0.356719,0.090104,0.172135,0.011198,0.133147,1.344,20,32,0.0,0.0,0.157538,-0.024391,0.143085,-0.009938,0.0049889890,0.0166730881,,True
detailed_answer,P2,PCGrad-inspired,eps_1em08__rho_1,"{""eps"": 1e-08, ""rho"": 1.0}",0.15,0.15,0.2,0.25,0.25,0.15,0.15,0.2,0.25,0.25,0.176484,0.364219,0.13349,0.298733,0.02526,0.188802,3.031,14,32,0.0,0.0,0.157538,0.031264,0.143085,0.045717,0.0050517700,0.0163421631,,True
detailed_answer,P2,PCGrad-inspired,eps_1em08__rho_10,"{""eps"": 1e-08, ""rho"": 10.0}",0.15,0.15,0.2,0.25,0.25,0.15,0.15,0.2,0.25,0.25,0.107422,0.360677,0.082895,0.148573,0.019271,0.128755,2.312,21,32,0.0,0.0,0.157538,-0.028783,0.143085,-0.01433,0.0048754860,0.0161085129,,True
detailed_answer,direct_preference,baseline,default,{},0.15,0.15,0.2,0.25,0.25,0.15,0.15,0.2,0.25,0.25,0.142474,0.361406,0.104323,0.224834,0.019531,0.157538,2.344,18,32,0.0,0.0,0.157538,0.0,0.143085,0.014453,0.0000815570,0.0008840561,0.0000000000,True
detailed_answer,uniform,baseline,default,{},0.15,0.15,0.2,0.25,0.25,0.2,0.2,0.2,0.2,0.2,0.0975,0.355,0.100312,0.212258,0.008333,0.143085,1.0,20,32,0.2,0.1,0.157538,-0.014453,0.143085,0.0,0.0000164050,0.0002975464,0.0000000000,True
helpfulness_focused,C1,CAGrad-inspired,c_0p25__eps_1em08,"{""c"": 0.25, ""eps"": 1e-08}",0.5,0.15,0.15,0.1,0.1,0.2395860309,0.0641683866,0.1536497362,0.2684896204,0.2741062259,0.241484,0.371719,0.151719,0.224089,0.0375,0.225417,4.5,9,32,0.6924911649,0.365920144,0.23093,-0.005513,0.19033,0.035087,0.0391316170,0.0198478699,,True
helpfulness_focused,C1,CAGrad-inspired,c_0p5__eps_1em08,"{""c"": 0.5, ""eps"": 1e-08}",0.5,0.15,0.15,0.1,0.1,0.1752780379,0.1012164927,0.1683485355,0.2753175769,0.279839357,0.143047,0.362344,0.113255,0.202374,0.020573,0.165158,2.469,18,32,0.7470109388,0.4138107044,0.23093,-0.065772,0.19033,-0.025172,0.0345831560,0.0196762085,,True
helpfulness_focused,C1,CAGrad-inspired,c_1__eps_1em08,"{""c"": 1.0, ""eps"": 1e-08}",0.5,0.15,0.15,0.1,0.1,0.1752780379,0.1012164927,0.1683485355,0.2753175769,0.279839357,0.212891,0.369531,0.113594,0.273611,0.034635,0.209739,4.156,12,32,0.7470109388,0.4138107044,0.23093,-0.021191,0.19033,0.019409,0.0348113720,0.0195617676,,True
helpfulness_focused,C2,CAGrad-inspired,rho_0p1__tau_0p05,"{""rho"": 0.1, ""tau"": 0.05}",0.5,0.15,0.15,0.1,0.1,0.2252532997,0.2021464309,0.1203316996,0.2218085829,0.2304599869,0.173594,0.362187,0.149479,0.288142,0.020312,0.194392,2.438,13,32,0.6088300014,0.3330800905,0.23093,-0.036538,0.19033,0.004062,0.0550628580,0.0162391663,,True
helpfulness_focused,C2,CAGrad-inspired,rho_0p1__tau_0p1,"{""rho"": 0.1, ""tau"": 0.1}",0.5,0.15,0.15,0.1,0.1,0.265471089,0.2555625941,0.1117564861,0.1792667113,0.1879431195,0.164141,0.367031,0.109531,0.250192,0.042969,0.182871,5.156,18,32,0.5455448497,0.2857044653,0.23093,-0.048059,0.19033,-0.007459,0.0444149240,0.0161724091,,True
helpfulness_focused,C2,CAGrad-inspired,rho_0p1__tau_0p2,"{""rho"": 0.1, ""tau"": 0.2}",0.5,0.15,0.15,0.1,0.1,0.3233932916,0.3224265126,0.1207192138,0.113692656,0.119768326,0.238828,0.373906,0.17844,0.450561,0.045052,0.251827,5.406,11,32,0.4117749892,0.2497127784,0.23093,0.020897,0.19033,0.061497,0.0631763430,0.0161695480,,True
helpfulness_focused,C2,CAGrad-inspired,rho_1__tau_0p05,"{""rho"": 1.0, ""tau"": 0.05}",0.5,0.15,0.15,0.1,0.1,0.4304303636,0.132656538,0.114954217,0.1572056228,0.1647532586,0.147734,0.359219,0.122786,0.308061,0.015365,0.17851,1.844,15,32,0.2439177627,0.117619746,0.23093,-0.05242,0.19033,-0.01182,0.0394353690,0.0162162781,,True
helpfulness_focused,C2,CAGrad-inspired,rho_1__tau_0p1,"{""rho"": 1.0, ""tau"": 0.1}",0.5,0.15,0.15,0.1,0.1,0.4524046549,0.1533886059,0.1322586698,0.1289686347,0.1329794347,0.226328,0.373906,0.149395,0.371524,0.042187,0.23303,5.062,13,32,0.1306733506,0.0672188905,0.23093,0.0021,0.19033,0.0427,0.0325164780,0.0161695480,,True
helpfulness_focused,C2,CAGrad-inspired,rho_1__tau_0p2,"{""rho"": 1.0, ""tau"": 0.2}",0.5,0.15,0.15,0.1,0.1,0.4744151476,0.1714058541,0.1462264651,0.1034090735,0.1045434596,0.160938,0.359375,0.16206,0.373698,0.015625,0.197616,1.875,13,32,0.0587167745,0.0340484894,0.23093,-0.033314,0.19033,0.007286,0.0330222100,0.0162305832,,True
helpfulness_focused,M1,MGDA-inspired,rho_0p1,"{""rho"": 0.1}",0.5,0.15,0.15,0.1,0.1,0.2783757908,0.0869777732,0.1414994202,0.2435062047,0.2496408111,0.20724,0.364687,0.160781,0.285263,0.024479,0.213414,2.938,10,32,0.5862940317,0.3100770133,0.23093,-0.017516,0.19033,0.023084,0.0287780420,0.0159101486,,True
helpfulness_focused,M1,MGDA-inspired,rho_1,"{""rho"": 1.0}",0.5,0.15,0.15,0.1,0.1,0.4349470514,0.117053202,0.1329520772,0.1558816488,0.1591660206,0.211615,0.368437,0.140104,0.402031,0.030729,0.225365,3.688,12,32,0.2300953387,0.1105955964,0.23093,-0.005565,0.19033,0.035035,0.0171100700,0.0158891678,,True
helpfulness_focused,M1,MGDA-inspired,rho_10,"{""rho"": 10.0}",0.5,0.15,0.15,0.1,0.1,0.4915782617,0.1450851968,0.1470502442,0.1079046954,0.108381602,0.251172,0.371094,0.184727,0.507445,0.035677,0.263271,4.281,7,32,0.0325725947,0.015379125,0.23093,0.032341,0.19033,0.072941,0.0131244060,0.0157785416,,True
helpfulness_focused,M2,MGDA-inspired,rho_0p1,"{""rho"": 0.1}",0.5,0.15,0.15,0.1,0.1,0.0,0.271685563,0.2718082719,0.2282221493,0.2282840158,0.410313,0.400208,0.273376,0.403379,0.145052,0.361037,17.406,1,32,1.0,0.5590548628,0.23093,0.130107,0.19033,0.170707,0.0208119630,0.0164632797,,True
helpfulness_focused,M2,MGDA-inspired,rho_1,"{""rho"": 1.0}",0.5,0.15,0.15,0.1,0.1,0.4168844447,0.1715062909,0.1718862807,0.1198401492,0.1198828345,0.177031,0.361563,0.184414,0.369297,0.019271,0.209269,2.312,12,32,0.1662311107,0.0929445211,0.23093,-0.021661,0.19033,0.018939,0.0109777070,0.0163774490,,True
helpfulness_focused,M2,MGDA-inspired,rho_10,"{""rho"": 10.0}",0.5,0.15,0.15,0.1,0.1,0.4914781834,0.1522040447,0.1522487179,0.1020320617,0.1020369924,0.191172,0.366094,0.152396,0.434411,0.041146,0.220915,4.938,13,32,0.0170436333,0.0095296651,0.23093,-0.010015,0.19033,0.030585,0.0117538430,0.0164012909,,True
helpfulness_focused,P1,PCGrad-inspired,beta_0p5,"{""beta"": 0.5}",0.5,0.15,0.15,0.1,0.1,0.5,0.15,0.15,0.1,0.1,0.231094,0.372188,0.16875,0.416433,0.040365,0.242367,4.844,11,32,0.0,0.0,0.23093,0.011437,0.19033,0.052037,0.0003149910,0.0058135986,0.0000000000,True
helpfulness_focused,P1,PCGrad-inspired,beta_1,"{""beta"": 1.0}",0.5,0.15,0.15,0.1,0.1,0.5,0.15,0.15,0.1,0.1,0.219271,0.36875,0.179844,0.410764,0.03776,0.236777,4.531,11,32,0.0,0.0,0.23093,0.005847,0.19033,0.046447,0.0002466990,0.0058593750,0.0000000000,True
helpfulness_focused,P1,PCGrad-inspired,beta_2,"{""beta"": 2.0}",0.5,0.15,0.15,0.1,0.1,0.5,0.15,0.15,0.1,0.1,0.255625,0.37625,0.211107,0.417008,0.056771,0.263294,6.812,10,32,0.0,0.0,0.23093,0.032364,0.19033,0.072964,0.0002373410,0.0058593750,0.0000000000,True
helpfulness_focused,P2,PCGrad-inspired,eps_1em08__rho_0p1,"{""eps"": 1e-08, ""rho"": 0.1}",0.5,0.15,0.15,0.1,0.1,0.5,0.15,0.15,0.1,0.1,0.277266,0.378281,0.224453,0.410468,0.051562,0.275246,6.188,8,32,0.0,0.0,0.23093,0.044316,0.19033,0.084916,0.0049332330,0.0165700912,,True
helpfulness_focused,P2,PCGrad-inspired,eps_1em08__rho_1,"{""eps"": 1e-08, ""rho"": 1.0}",0.5,0.15,0.15,0.1,0.1,0.5,0.15,0.15,0.1,0.1,0.203125,0.370833,0.168447,0.407618,0.042448,0.227461,5.094,13,32,0.0,0.0,0.23093,-0.003469,0.19033,0.037131,0.0052856600,0.0162420273,,True
helpfulness_focused,P2,PCGrad-inspired,eps_1em08__rho_10,"{""eps"": 1e-08, ""rho"": 10.0}",0.5,0.15,0.15,0.1,0.1,0.5,0.15,0.15,0.1,0.1,0.254896,0.374583,0.226562,0.479297,0.055729,0.271122,6.688,8,32,0.0,0.0,0.23093,0.040192,0.19033,0.080792,0.0049496900,0.0161542892,,True
helpfulness_focused,direct_preference,baseline,default,{},0.5,0.15,0.15,0.1,0.1,0.5,0.15,0.15,0.1,0.1,0.211693,0.369844,0.162378,0.416825,0.035677,0.23093,4.281,13,32,0.0,0.0,0.23093,0.0,0.19033,0.0406,0.0000794570,0.0008840561,0.0000000000,True
helpfulness_focused,uniform,baseline,default,{},0.5,0.15,0.15,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.167422,0.363594,0.130781,0.298589,0.026042,0.19033,3.125,15,32,0.6,0.3391164992,0.23093,-0.0406,0.19033,0.0,0.0000161920,0.0002975464,0.0000000000,True
quality_focused,C1,CAGrad-inspired,c_0p25__eps_1em08,"{""c"": 0.25, ""eps"": 1e-08}",0.15,0.35,0.25,0.1,0.15,0.1752780379,0.1012164927,0.1683485355,0.2753175769,0.279839357,0.153359,0.360469,0.107812,0.270573,0.017448,0.205796,2.094,15,32,0.6608699437,0.3417509119,0.197947,0.007849,0.178574,0.027222,0.0412369880,0.0215206146,,True
quality_focused,C1,CAGrad-inspired,c_0p5__eps_1em08,"{""c"": 0.5, ""eps"": 1e-08}",0.15,0.35,0.25,0.1,0.15,0.1752780379,0.1012164927,0.1683485355,0.2753175769,0.279839357,0.111406,0.355312,0.126562,0.201476,0.008854,0.194187,1.062,18,32,0.6608699437,0.3417509119,0.197947,-0.00376,0.178574,0.015613,0.0393970930,0.0205059052,,True
quality_focused,C1,CAGrad-inspired,c_1__eps_1em08,"{""c"": 1.0, ""eps"": 1e-08}",0.15,0.35,0.25,0.1,0.15,0.1752780379,0.1012164927,0.1683485355,0.2753175769,0.279839357,0.222734,0.371719,0.112153,0.249569,0.036979,0.222054,4.438,12,32,0.6608699437,0.3417509119,0.197947,0.024107,0.178574,0.04348,0.0401714270,0.0206813812,,True
